id,gender,age,height,body_volume,ethnicity,hair_color,hairstyle,beard,moustache,glasses,head_accessories,upper_body_clothing,lower_body_clothing,footwear,accessories
1604,1,3,2,0,4,1,3,1,1,2,4,0,2,4,0
1605,0,3,2,1,0,0,1,0,0,2,4,2,0,3,1
1606,1,3,3,1,4,0,1,1,1,2,4,8,2,1,1
1608,0,3,2,1,4,0,5,2,2,3,0,7,9,0,7
1609,1,3,2,1,4,0,1,0,0,2,0,10,3,0,1
1610,2,3,2,1,4,5,5,2,2,3,0,0,2,0,2
1611,1,3,2,1,4,0,3,1,1,2,4,0,1,0,1
1612,0,3,2,0,4,1,2,1,1,2,4,8,2,0,1
1613,1,2,2,1,4,0,2,1,1,0,4,0,2,0,1
1614,0,3,2,1,4,0,2,1,1,2,4,0,2,0,1
1615,1,3,2,1,4,0,3,1,1,2,4,6,9,6,1
1616,0,4,3,1,4,1,2,0,0,2,4,8,2,1,0
1617,1,3,3,1,4,0,3,1,1,2,4,8,0,0,0
1618,1,4,2,0,4,1,3,1,1,2,4,1,0,0,2
1619,1,3,2,0,0,1,2,1,1,2,4,6,6,3,7
1620,2,3,2,1,4,0,1,1,1,2,4,8,2,0,1
1622,0,3,2,1,4,0,3,2,2,3,0,0,3,0,1
1626,1,0,0,0,4,1,3,1,1,2,4,0,3,0,1
1630,1,2,2,1,0,1,2,1,1,2,4,8,0,0,7
1631,2,3,3,1,4,1,5,1,1,3,0,0,3,0,7
1633,2,3,2,0,4,0,1,1,1,2,4,0,2,0,1
1634,0,3,2,1,4,1,1,2,2,0,4,0,2,0,7
1635,0,2,2,0,4,5,5,1,1,3,0,0,2,0,1
1636,1,4,2,2,4,1,3,1,1,0,4,3,9,2,1
1637,0,3,2,1,4,1,3,1,1,0,0,8,0,0,1
1638,1,3,2,1,4,1,3,1,1,2,4,0,2,0,0
1640,1,3,2,1,4,0,2,1,1,2,4,0,3,0,1
1641,2,3,2,1,4,0,1,1,1,2,4,8,2,0,0
1643,0,3,2,1,4,1,2,2,2,2,4,0,3,0,7
1644,1,2,2,1,4,0,3,2,2,2,4,0,0,6,8
1645,1,3,2,1,4,1,3,1,1,0,4,6,2,0,1
1647,1,3,2,1,4,1,3,1,1,3,4,12,2,0,1
1648,0,3,2,1,4,1,2,2,2,2,4,0,3,0,7
1650,0,2,2,1,4,6,5,2,2,3,4,0,3,0,1
1651,1,3,2,1,4,6,5,1,1,2,0,0,2,0,1
1652,1,3,2,1,4,1,2,1,1,2,4,0,2,0,7
1653,1,3,2,1,4,2,3,1,1,2,4,0,0,0,0
1654,0,3,2,1,4,0,2,2,2,2,4,0,2,0,7
1656,1,3,2,1,0,1,1,1,2,0,4,8,4,0,7
1657,0,4,3,1,4,0,0,2,2,2,4,8,2,1,7
1662,1,8,4,3,4,6,5,2,2,3,4,12,4,6,8
1663,1,3,2,1,4,1,3,1,1,3,4,6,0,4,1
1664,0,3,2,1,4,1,2,2,2,2,4,0,3,0,7
1665,0,3,3,1,4,1,2,0,0,1,4,8,2,0,6
1670,0,3,2,1,4,0,1,1,1,2,4,0,0,0,7
1671,1,3,2,1,4,0,4,2,1,2,4,0,0,0,7
1672,2,3,2,1,4,1,3,2,2,3,4,0,2,0,1
1673,1,3,2,1,4,0,1,1,1,2,4,0,2,0,7
1674,0,2,2,1,4,0,2,1,1,2,4,0,2,0,7
1675,1,4,2,1,4,0,3,1,1,1,4,12,9,6,0
1676,0,3,2,1,4,0,1,2,2,0,4,0,2,6,0
1677,1,3,2,1,4,1,3,1,1,1,4,0,2,4,1
1678,0,3,2,1,0,1,2,1,1,2,4,8,2,1,0
1679,0,3,3,1,4,6,5,2,2,2,0,0,3,0,1
1681,1,3,2,1,4,1,3,1,1,2,4,0,4,0,0
1682,0,3,2,1,3,0,2,1,1,2,4,8,2,1,2
1685,0,4,2,1,4,6,5,1,2,3,0,8,3,3,7
1690,1,3,2,1,0,1,3,1,1,0,4,0,6,4,0
1691,1,3,2,1,4,1,3,1,1,2,4,10,2,0,7
1692,1,3,2,1,4,1,3,1,1,2,4,2,3,0,1
1693,1,3,2,1,4,0,3,1,1,2,4,10,3,0,0
1695,1,3,2,1,4,0,1,1,1,2,4,8,2,0,7
1696,0,3,2,1,2,0,1,1,1,0,4,0,3,0,1
1697,0,4,2,1,4,4,1,2,2,2,4,0,3,0,1
1699,1,3,2,0,4,6,3,1,1,2,4,6,6,0,7
1700,1,3,2,1,4,0,2,1,1,0,4,0,7,0,7
1703,0,3,2,1,4,5,5,2,2,1,0,0,2,0,6
1704,0,3,2,1,4,0,1,2,2,2,4,0,3,0,1
1705,2,3,2,1,4,0,1,1,1,2,4,0,2,0,1
1707,0,3,2,1,4,0,1,1,1,2,4,0,2,0,7
1708,0,2,2,1,4,6,1,2,2,2,4,0,12,0,6
1709,0,3,2,1,4,1,1,1,1,2,4,0,2,0,1
1710,1,3,3,1,4,0,1,1,1,2,4,8,2,0,7
1711,1,3,2,1,4,1,3,1,1,2,0,8,9,0,1
1713,1,3,2,1,4,0,3,1,1,2,4,0,0,0,0
1714,0,3,2,1,4,1,2,1,1,3,4,0,9,6,1
1715,0,3,2,1,4,0,0,1,1,0,4,0,3,0,7
1716,1,3,2,1,4,1,2,1,1,2,4,0,2,1,7
1722,0,3,2,1,1,0,2,2,2,2,0,12,3,0,1
1723,1,3,2,0,4,1,2,1,1,2,4,0,3,0,1
1726,0,3,2,1,4,6,2,1,1,0,4,8,2,1,0
1728,1,3,2,1,4,0,3,1,1,2,4,0,2,0,1
1731,1,3,3,1,0,1,3,1,1,2,4,0,3,0,1
1732,2,2,2,1,4,0,3,1,1,1,4,0,0,0,0
1734,1,3,2,0,4,1,3,1,1,2,0,0,3,0,0
1736,2,3,2,1,4,0,1,1,1,2,4,0,2,0,7
1739,0,4,2,1,4,5,5,2,2,0,0,0,3,0,7
1740,1,3,2,1,0,1,3,1,1,2,4,10,1,0,1
1741,0,3,2,1,4,0,1,1,1,0,4,12,2,0,1
1743,1,3,2,1,4,1,3,1,1,0,4,11,3,0,1
1745,2,8,4,3,4,6,5,2,2,3,4,12,9,6,8
1746,0,2,2,1,0,1,1,1,1,2,4,0,12,9,1
1747,1,3,2,1,4,1,3,1,1,2,4,0,0,4,7
1748,2,3,2,1,4,0,3,1,1,0,4,0,1,0,1
1750,1,2,2,0,4,1,3,1,1,2,0,4,3,0,5
1753,0,3,3,1,4,0,1,1,1,2,4,0,2,0,7
1754,1,3,2,1,4,1,4,1,1,2,4,0,0,0,0
1755,2,8,2,1,4,6,5,2,2,3,3,10,2,6,8
1756,1,3,2,1,4,1,3,1,1,2,4,0,3,0,7
1761,1,3,2,0,0,1,3,1,1,2,4,0,0,0,0
1764,1,3,2,1,4,1,1,1,1,1,4,0,2,4,1
1768,0,3,2,1,4,1,2,0,0,2,4,8,2,0,1
1769,0,8,4,3,4,5,1,1,1,2,4,8,2,6,7
1771,1,3,2,1,0,1,3,1,1,2,4,8,2,0,1
1775,0,3,2,1,4,1,3,0,0,1,4,8,3,0,1
1780,2,8,2,1,4,6,5,2,2,3,4,0,2,0,0
1783,0,3,2,1,4,0,1,1,1,2,4,0,2,0,1
1784,0,3,2,1,4,0,1,0,1,0,4,8,2,1,7
1785,2,4,2,1,0,1,2,1,1,3,4,8,2,1,7
1786,1,3,2,1,4,6,5,1,1,2,4,3,2,0,7
1787,0,3,3,1,4,1,2,1,1,2,4,8,0,0,1
1788,0,2,3,0,4,1,3,1,1,2,4,0,2,0,1
1790,1,3,2,1,4,1,3,1,1,0,4,0,2,4,0
1795,1,2,2,1,4,1,4,1,1,2,4,0,4,0,2
1798,1,3,3,1,4,1,2,0,1,2,4,0,2,6,7
1803,0,3,2,2,4,0,2,0,0,2,4,0,2,0,1
1805,2,3,2,1,4,0,3,1,1,2,4,0,2,0,7
1806,1,3,2,1,4,1,2,1,1,2,4,0,3,0,0
1808,1,4,2,1,4,1,2,1,1,1,4,2,6,0,1
1811,1,3,2,1,0,1,3,1,1,1,4,6,6,4,0
1813,0,3,2,1,4,0,1,0,0,2,4,0,2,0,7
1818,0,3,2,1,4,1,3,2,2,2,4,0,0,0,1
1820,1,3,2,1,4,1,3,1,1,2,4,2,3,3,6
1824,0,3,2,1,4,6,5,1,1,3,0,0,3,0,1
1825,2,3,2,1,4,1,2,1,1,2,4,8,2,0,7
1826,1,3,2,0,4,0,1,1,1,2,4,0,2,4,1
1827,0,3,2,1,4,0,2,1,1,0,4,0,2,0,1
1829,0,3,2,1,4,1,5,2,2,2,0,0,3,0,1
1831,1,3,3,0,4,0,3,1,1,2,4,0,3,0,7
1832,3,3,2,0,4,0,2,1,1,2,4,0,3,4,1
1837,0,2,2,0,4,1,2,1,1,2,4,0,2,0,1
1838,1,3,2,1,4,0,4,1,1,2,4,10,9,6,0
1840,0,3,2,0,4,0,1,1,1,2,4,8,2,3,1
1841,0,2,2,1,0,1,1,1,1,2,4,0,3,0,7
1842,2,7,4,1,0,2,3,0,0,0,0,8,3,0,7
1843,1,3,2,2,0,1,1,2,2,0,4,0,1,0,7
1844,1,3,2,1,4,0,3,1,1,2,4,0,2,0,1
1846,0,3,2,1,0,1,3,1,1,2,4,0,3,0,2
1847,1,3,2,1,4,1,3,1,1,0,4,2,1,0,2
1852,2,2,2,0,4,6,3,2,2,3,0,0,3,0,7
1853,1,3,3,1,4,1,2,1,1,2,0,12,2,0,7
1854,2,4,3,1,4,0,0,0,1,2,4,8,2,1,7
1857,1,3,2,0,4,1,3,1,1,2,4,1,2,0,0
1860,2,3,2,1,4,0,1,0,0,2,4,0,3,0,1
1861,1,3,2,1,4,0,3,1,1,1,4,8,2,0,2
1863,0,2,2,1,2,0,1,1,1,0,4,0,3,0,1
1865,1,2,3,1,4,1,3,1,1,2,4,0,2,0,0
1867,1,3,2,1,4,1,3,1,1,2,4,2,3,0,1
1869,0,3,2,1,0,1,2,1,1,2,4,0,3,0,7
1872,1,3,2,1,4,1,3,1,1,2,4,0,1,0,2
1873,2,3,2,0,4,1,3,1,1,2,0,0,4,6,7
1874,1,4,2,1,4,1,2,1,1,0,0,2,2,0,1
1876,1,2,2,1,4,1,3,1,1,2,4,1,4,0,0
1877,1,3,2,1,4,1,3,1,1,0,4,6,2,1,0
1880,1,3,2,1,4,1,3,1,1,2,4,0,2,0,0
1881,1,3,2,1,4,6,5,1,1,2,4,0,2,0,2
1883,2,2,2,1,4,1,3,1,1,2,4,0,2,0,1
1884,1,3,2,1,0,1,4,1,1,0,4,0,3,0,0
1885,1,3,2,1,4,0,3,1,1,2,4,8,2,0,2
1887,2,3,2,1,4,6,2,2,2,3,4,12,2,6,1
1888,1,3,2,1,4,0,3,1,1,2,0,10,1,0,7
1889,1,3,2,1,2,0,3,1,1,2,0,1,2,6,2
1893,0,3,2,1,4,0,2,1,1,2,0,2,3,0,7
1897,0,3,2,1,4,0,1,1,1,2,4,0,2,0,2
1898,1,7,2,1,4,4,1,0,0,0,4,8,0,1,7
1899,1,3,2,1,4,0,3,1,1,2,4,0,2,0,0
1900,1,3,2,1,4,6,1,1,1,2,0,12,1,0,1
1903,0,2,2,1,4,1,1,2,2,2,4,0,8,0,8
1908,1,3,2,0,4,1,3,1,1,2,4,0,3,0,1
1911,0,3,2,1,4,1,3,0,0,2,4,0,3,0,1
1923,2,0,0,1,4,5,5,1,1,2,0,0,3,0,7
1925,1,3,2,1,4,0,3,1,1,2,4,8,2,4,0
1926,2,3,3,1,4,1,2,1,1,0,4,0,0,0,1
1928,0,3,3,1,4,5,5,0,2,2,4,0,2,0,8
1934,0,3,2,1,4,1,2,1,1,2,4,0,2,6,1
1935,1,3,2,1,4,1,3,1,1,0,4,12,2,0,2
1937,0,3,2,1,4,0,3,0,0,2,4,0,0,0,1
1941,0,3,2,1,0,0,1,1,1,2,4,0,2,0,7
1942,0,3,2,1,0,1,1,1,1,2,4,0,3,0,1
1944,1,2,2,1,2,0,1,1,1,2,4,0,0,0,1
1947,0,4,2,1,0,4,1,1,1,0,4,8,2,1,0
1948,2,3,3,1,4,0,1,0,0,0,4,0,0,0,1
1949,2,8,2,1,4,6,5,2,2,3,4,10,2,6,7
1951,0,2,2,1,4,1,2,1,1,2,4,0,3,0,1
1952,0,3,2,1,4,0,1,1,1,0,4,0,2,6,1
