id,gender,age,height,body_volume,ethnicity,hair_color,hairstyle,beard,moustache,glasses,head_accessories,upper_body_clothing,lower_body_clothing,footwear,accessories
1604,0,2,2,1,4,1,1,1,1,2,4,0,3,6,1
1605,1,3,2,0,4,0,1,1,1,0,4,2,2,0,1
1606,0,3,2,1,4,0,1,2,2,2,0,10,2,3,8
1608,0,5,2,1,0,2,1,1,1,2,4,0,2,0,7
1609,1,3,2,1,4,0,1,1,1,2,4,0,2,0,7
1610,1,2,4,1,4,0,3,2,2,2,4,12,2,6,0
1611,1,2,2,1,2,0,1,1,1,2,4,0,0,0,1
1612,1,2,2,1,2,0,1,1,1,2,4,0,0,0,7
1614,0,3,2,1,4,0,2,1,1,0,4,0,2,0,0
1613,1,3,2,1,4,1,3,1,1,2,4,0,3,4,7
1615,1,3,2,1,4,0,2,1,1,2,4,0,3,0,1
1616,1,3,2,1,4,1,3,1,1,2,4,10,3,0,1
1617,1,4,2,1,0,2,1,1,1,2,4,8,0,0,0
1618,1,3,2,0,4,6,3,1,1,2,4,11,0,0,7
1619,0,2,2,1,0,1,1,1,1,2,4,0,3,0,7
1620,1,3,2,1,0,1,4,2,1,2,4,12,2,0,7
1622,0,3,2,1,4,0,1,1,1,2,4,0,3,0,7
1626,2,3,2,1,4,6,3,1,1,2,0,8,0,1,0
1630,0,2,2,1,0,1,1,1,1,2,4,0,3,4,7
1631,0,2,2,1,4,0,1,2,2,2,4,0,3,0,7
1633,0,2,2,1,4,0,1,1,1,2,4,0,3,0,7
1634,1,2,2,1,4,0,3,2,2,2,4,0,0,6,8
1635,1,2,2,1,4,0,1,1,1,2,4,0,0,0,7
1636,0,3,3,1,4,1,3,1,1,2,4,0,3,0,0
1637,0,3,2,1,4,0,1,2,2,0,4,0,2,6,0
1638,1,2,2,1,4,1,3,1,1,2,4,1,4,0,0
1640,1,3,2,1,0,1,3,1,1,0,4,0,0,0,0
1641,1,3,2,0,4,1,2,1,1,2,4,0,3,0,1
1643,0,3,2,0,4,0,3,1,1,2,4,0,3,0,7
1644,1,3,2,1,4,1,3,1,1,2,4,1,2,6,1
1645,0,3,2,1,4,0,1,1,1,2,4,0,2,0,1
1647,0,3,2,1,4,0,1,1,1,2,4,8,2,1,1
1648,1,3,2,1,4,1,3,1,1,0,4,6,2,1,0
1650,0,3,3,1,4,6,5,1,1,3,0,3,2,0,8
1651,0,6,2,2,4,6,5,2,2,2,0,8,2,0,7
1652,0,3,2,1,4,1,1,0,0,2,4,2,2,1,5
1653,1,2,2,1,0,1,4,1,1,2,4,0,0,0,7
1654,1,3,2,1,4,0,4,1,1,2,4,7,7,0,1
1656,0,3,2,1,4,1,2,1,1,3,4,0,9,6,1
1657,0,3,2,1,4,0,1,0,1,0,4,8,2,1,0
1662,1,3,2,1,4,0,2,0,0,2,4,0,0,0,1
1663,2,3,3,1,4,1,1,1,1,2,4,0,2,0,6
