id,gender,age,height,body_volume,ethnicity,hair_color,hairstyle,beard,moustache,glasses,head_accessories,upper_body_clothing,lower_body_clothing,footwear,accessories
0,1,3,2,1,4,6,5,1,1,2,4,12,2,0,0
6,1,2,2,1,4,0,1,1,1,2,4,0,2,0,1
8,2,4,2,1,4,6,5,2,2,3,0,3,2,6,7
10,1,3,2,1,4,0,2,1,1,2,4,0,2,0,0
11,2,3,2,1,0,0,1,0,0,0,0,8,2,3,0
14,1,4,2,1,4,6,5,1,1,0,0,2,2,0,1
15,1,3,2,1,4,6,5,1,1,3,0,2,2,0,1
16,1,3,2,0,4,0,3,1,1,2,4,3,2,4,0
17,1,3,2,1,4,0,3,1,1,2,4,0,2,0,2
20,2,3,4,1,4,6,1,0,1,2,4,8,2,0,7
21,1,8,4,3,1,0,3,2,2,2,4,0,0,6,8
24,0,1,4,3,4,0,1,1,1,2,4,0,12,9,6
27,1,2,2,1,4,1,3,1,1,2,4,8,4,0,0
33,0,3,2,1,4,0,0,2,1,2,4,8,2,1,8
34,0,2,2,1,3,0,1,1,1,0,4,10,2,0,8
39,0,1,2,1,4,1,1,2,2,2,4,0,3,9,8
47,1,5,4,1,0,1,1,1,1,2,4,0,0,6,8
48,1,2,2,1,4,1,1,2,2,2,4,0,2,0,1
50,1,2,2,1,4,0,3,2,2,2,4,12,0,6,0
52,0,1,4,1,4,1,1,2,2,2,4,0,2,0,7
53,0,2,2,1,4,1,3,2,2,2,4,0,2,6,7
54,0,5,4,3,4,6,1,2,2,2,4,0,2,0,8
57,1,2,2,1,4,1,5,1,2,2,4,1,9,1,8
58,2,8,4,3,4,6,5,2,2,3,4,12,9,6,8
59,0,3,2,1,4,1,2,1,1,2,4,0,2,0,1
60,1,2,2,1,4,1,1,1,1,2,4,0,2,0,7
61,0,2,2,1,4,1,1,2,2,2,4,0,3,9,7
62,0,8,4,3,4,5,1,2,2,2,3,4,8,2,6
64,0,8,4,3,4,1,1,2,2,2,4,0,12,9,6
66,0,3,2,1,0,1,1,1,1,2,0,8,2,1,1
72,1,2,2,1,0,1,4,1,1,2,4,0,0,4,0
73,0,2,2,1,4,1,1,2,2,2,4,0,9,6,0
80,0,2,2,1,4,1,3,1,1,2,4,0,2,0,7
81,2,3,2,1,4,1,2,1,1,2,4,0,0,0,0
83,2,8,4,3,4,6,5,2,2,3,4,12,9,6,8
84,0,2,2,1,4,0,1,2,2,2,4,12,2,0,1
90,0,3,2,1,3,0,1,1,1,2,4,0,2,0,7
95,0,3,2,1,3,0,1,1,1,2,4,0,2,0,7
98,1,5,2,1,0,4,1,1,1,2,4,1,2,0,0
99,2,8,4,3,4,6,5,2,2,3,4,12,2,6,8
102,1,3,3,2,4,1,3,1,1,1,4,1,2,0,1
103,2,8,4,3,4,6,5,2,2,3,4,12,9,6,8
109,0,8,4,3,4,6,1,2,2,2,4,12,0,6,8
110,2,3,2,1,4,6,5,1,1,2,4,0,2,0,1
112,1,3,2,1,0,2,1,1,1,2,0,1,2,1,0
115,1,2,4,1,4,0,3,2,2,2,4,12,2,6,0
116,1,3,3,1,4,1,2,1,1,2,4,0,3,0,1
120,1,3,2,1,4,1,3,1,1,2,4,2,2,4,0
123,0,1,2,1,4,1,1,1,1,2,4,0,3,0,7
125,1,3,3,1,4,1,1,1,1,0,0,0,2,0,0
128,0,3,2,1,4,0,1,1,1,2,4,0,0,0,7
131,0,4,2,2,0,1,1,1,1,2,4,0,9,0,7
133,0,2,2,1,0,1,1,1,1,2,4,10,0,1,7
134,1,2,4,3,4,1,3,2,1,2,4,0,2,9,6
137,0,3,2,1,4,1,2,2,2,2,4,10,3,0,1
139,0,3,2,1,4,1,2,1,1,2,4,0,3,0,5
140,2,3,2,1,4,1,1,1,1,2,4,8,2,3,1
143,0,8,4,3,4,5,1,2,2,2,4,0,0,6,7
144,1,2,2,1,4,0,1,1,1,2,4,12,2,6,1
147,1,2,2,1,0,1,2,1,1,2,4,2,4,1,0
149,0,3,2,1,0,1,1,1,2,2,4,8,2,0,8
150,2,3,3,2,4,1,2,1,1,0,4,8,2,1,7
151,1,1,2,1,2,0,1,1,1,2,4,0,6,0,7
153,1,3,2,1,1,0,1,1,1,2,4,8,0,0,7
154,2,3,2,1,4,6,0,1,1,2,4,0,3,0,1
155,2,8,4,3,4,6,5,2,2,3,4,12,0,6,8
157,1,3,2,1,4,0,2,0,0,2,4,2,2,0,1
159,1,3,2,0,4,0,3,1,1,0,4,0,9,0,1
160,2,3,3,1,4,6,3,1,1,2,0,12,9,6,7
161,1,3,2,1,4,1,3,1,1,2,4,1,2,0,2
163,1,5,2,1,0,4,1,1,1,2,4,1,2,0,0
165,1,3,3,0,4,6,2,1,1,2,4,0,3,0,1
166,2,3,2,1,4,0,5,1,1,3,4,0,0,0,1
168,1,3,2,1,4,1,3,1,1,2,4,2,0,0,1
169,2,3,3,1,0,1,2,1,1,2,4,0,2,0,1
170,1,3,2,1,4,1,3,1,1,2,4,6,4,3,0
173,1,3,2,1,3,0,4,2,1,2,4,8,0,6,6
174,1,2,2,1,0,1,4,1,1,2,4,6,9,0,7
175,2,8,4,3,4,6,5,2,2,3,4,12,9,6,8
178,2,3,3,1,4,0,1,1,1,2,0,0,3,0,1
179,0,3,2,1,4,0,2,1,1,2,4,0,2,0,1
180,0,3,2,1,4,1,2,1,1,2,4,0,3,0,1
181,1,2,2,1,4,1,4,2,2,2,4,0,3,5,1
182,0,2,2,1,4,1,1,1,1,2,4,0,2,1,8
183,1,2,2,1,0,1,4,1,1,2,4,0,2,0,7
187,0,2,2,1,0,1,2,1,1,2,4,0,3,0,7
191,2,8,4,3,4,6,5,2,2,3,4,12,9,6,8
197,2,4,3,1,4,4,1,1,1,2,4,8,2,1,0
200,0,3,2,1,4,0,2,2,2,2,4,0,0,0,1
204,0,3,2,0,4,0,2,1,1,2,4,0,2,0,1
205,0,5,2,1,0,1,2,0,0,0,0,0,0,1,7
206,0,4,2,1,4,0,1,1,1,2,4,8,2,1,7
207,0,3,2,1,4,0,5,2,2,2,4,0,2,0,1
210,2,3,2,1,4,1,2,1,1,1,4,0,2,0,1
213,1,3,2,1,4,0,3,1,1,0,4,0,0,1,0
216,0,3,2,1,0,6,0,1,1,2,4,8,2,1,7
